@relation relation name
@attribute Title string
@attribute Author1 string
@attribute Author2 string
@attribute Author3 string
@attribute Author4 string
@attribute Author5 string
@attribute Author6 string
@attribute Author7 string
@attribute Edition_Type string
@attribute Edition_Month string
@attribute Edition_Year integer
@attribute Reviews integer
@attribute Ratings real
@attribute Genre1 string
@attribute Genre2 string
@attribute Book_Category1 string
@attribute Book_Category2 string
@data
'TREASURE','CLIVE CUSSLER','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','JAN',2017,3,3.8,'ACTION','ADVENTURE','ACTION & ADVENTURE','NONE'
'THE EMERGENCY: A PERSONAL HISTORY','COOMI KAPOOR','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','JUN',2016,97,4.4,'LITERATURE','NONE','BIOGRAPHIES','DIARIES & TRUE ACCOUNTS'
'PIANO EXAM PIECES 2019 & 2020, ABRSM GRADE 2: SELECTED FROM THE 2019 & 2020 SYLLABUS (ABRSM EXAM PIECES)','ABRSM','NONE','NONE','NONE','NONE','NONE','NONE','SHEET MUSIC','JUN',2018,1,2.0,'MUSIC BOOKS','NONE','ARTS','FILM & PHOTOGRAPHY'
'TIMELINE','MICHAEL CRICHTON','NONE','NONE','NONE','NONE','NONE','NONE','MASS MARKET PAPERBACK','OCT',2000,7,4.6,'ACTION','ADVENTURE','CRIME','THRILLER & MYSTERY'
'THE LONGEST NIGHT: A COLLECTION OF POETRY FROM A LIFE HALF LIVED','RANATA SUZUKI','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','AUG',2018,2,5.0,'BIOGRAPHIES','AUTOBIOGRAPHIES','BIOGRAPHIES','DIARIES & TRUE ACCOUNTS'
'BESHARAM','PRIYA-ALIKA ELIAS','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','MAR',2019,2,5.0,'SOCIETY','CULTURE','HUMOUR','NONE'
'A HANDFUL OF SUNSHINE','VIKRAM BHATT','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','APR',2017,7,4.2,'ROMANCE (BOOKS)','NONE','ROMANCE','NONE'
"FOOTNOTES FROM THE WORLD'S GREATEST BOOKSTORES: TRUE TALES AND LOST MOMENTS FROM BOOK BUYERS, BOOKSELLERS, AND BOOK LOVERS",'BOB ECKSTEIN','NONE','NONE','NONE','NONE','NONE','NONE','HARDCOVER','OCT',2016,5,4.1,'INDUSTRIES','BUSINESS SECTORS','HUMOUR','NONE'
'A MAN CALLED OVE: THE LIFE-AFFIRMING BESTSELLER THAT WILL BRIGHTEN YOUR DAY','FREDRIK BACKMAN','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','MAY',2015,285,4.7,'ACTION','ADVENTURE','ACTION & ADVENTURE','NONE'
'THE BLUE LOTUS (TINTIN)','HERGE','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','JAN',2013,29,4.1,'COMICS','MANGAS','ARTS','FILM & PHOTOGRAPHY'
'MASTERING VBA FOR MICROSOFT OFFICE 2016 (SYBEX)','RICHARD MANSFIELD','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','NONE',2016,1,5.0,'PROGRAMMING LANGUAGES (BOOKS)','NONE','COMPUTING','INTERNET & DIGITAL MEDIA'
'THE UNTOLD VAJPAYEE: POLITICIAN AND PARADOX','ULLEKH N P','NONE','NONE','NONE','NONE','NONE','NONE','HARDCOVER','DEC',2016,27,3.7,'BIOGRAPHIES','AUTOBIOGRAPHIES','BIOGRAPHIES','DIARIES & TRUE ACCOUNTS'
'BRAVE NEW WORLD REVISITED','ALDOUS HUXLEY','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','SEP',2004,4,4.0,'MEDIA STUDIES','NONE','POLITICS','NONE'
'SEDUCTIVE AFFAIR','RISHABH PURI','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','JUL',2018,267,3.2,'INDIAN WRITING (BOOKS)','NONE','ROMANCE','NONE'
'THINGS A LITTLE BIRD TOLD ME','BIZ STONE','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','APR',2014,24,4.0,'NETWORKS','SYSTEM ADMINISTRATION','COMPUTING','INTERNET & DIGITAL MEDIA'
"THE PICKWICK PAPERS (EVERYMAN'S LIBRARY CLASSICS SERIES)",'CHARLES DICKENS','NONE','NONE','NONE','NONE','NONE','NONE','HARDCOVER','MAR',1999,7,4.0,'CLASSIC FICTION (BOOKS)','NONE','HUMOUR','NONE'
'THE TIN DRUM (VINTAGE CLASSICS) (VINTAGE WAR)','GÜNTER GRASS','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','OCT',2010,6,4.7,'ACTION','ADVENTURE','ACTION & ADVENTURE','NONE'
'ZONA: A BOOK ABOUT A FILM ABOUT A JOURNEY TO A ROOM','GEOFF DYER','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','MAR',2013,2,5.0,'CINEMA','BROADCAST','HUMOUR','NONE'
'MALICE','KEIGO HIGASHINO','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','OCT',2014,146,4.3,'CRIME, THRILLER','MYSTERY','CRIME','THRILLER & MYSTERY'
'DEATH NOTE BLACK EDITION, VOL. 4','TSUGUMI OHBA','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','JUL',2011,1,5.0,'MANGAS','NONE','POLITICS','NONE'
'5 LANGUAGE VISUAL DICTIONARY: ENGLISH, FRENCH, GERMAN, SPANISH, ITALIAN (DICTIONARIES)','DK','NONE','NONE','NONE','NONE','NONE','NONE','HARDCOVER','SEP',2016,4,4.0,'DICTIONARIES','NONE','LANGUAGE','LINGUISTICS & WRITING'
"A DOLL'S HOUSE AND OTHER PLAYS (PENGUIN CLASSICS)",'HENRIK IBSEN',' DEBORAH DAWKIN',' ERIK SKUGGEVIK',' TORE REM','NONE','NONE','NONE','PAPERBACK','SEP',2016,1,5.0,'LINGUISTICS (BOOKS)','NONE','HUMOUR','NONE'
'MEN WITHOUT WOMEN: STORIES','HARUKI MURAKAMI','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','SEP',2018,95,4.1,'ACTION','ADVENTURE','ACTION & ADVENTURE','NONE'
'MIRACULOUS: TALES OF LADYBUG AND CAT NOIR: SPOTS ON','ZAG ENTERTAINMENT','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','NOV',2016,1,5.0,'COMICS','MANGAS','COMICS & MANGAS','NONE'
'AB DE VILLIERS - THE AUTOBIOGRAPHY','A B DE VILLIERS','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','SEP',2016,234,4.6,'BIOGRAPHIES','AUTOBIOGRAPHIES','SPORTS','NONE'
'THE COMPLETE GUIDE TO DRONES: (THIS IS A BOOK, NOT A DRONE) (COLOURING FOR MINDFULNESS)','ADAM JUNIPER','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','NOV',2015,35,3.7,'COMPUTER HARDWARE','HANDHELD DEVICES','ARTS','FILM & PHOTOGRAPHY'
'LINE ON FIRE: CEASEFIRE VIOLATIONS AND INDIA–PAKISTAN ESCALATION DYNAMICS (OXFORD INTERNATIONAL RELATIONS IN SOUTH ASIA)','HAPPYMON JACOB','NONE','NONE','NONE','NONE','NONE','NONE','HARDCOVER','JAN',2019,3,5.0,'GOVERNMENT (BOOKS)','NONE','POLITICS','NONE'
'ART: A WORLD HISTORY','ELKE LINDA BUCHHOLZ',' SUSANNE KAEPPELE',' KAROLINE HILLE',' IRINA STOTLAND',' GERHARD BUHLER','NONE','NONE','PAPERBACK','NOV',2007,5,4.1,'ARTS HISTORY, THEORY','CRITICISM','ARTS','FILM & PHOTOGRAPHY'
'SOUTH BY JAVA HEAD','ALISTAIR MACLEAN','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','MAY',2008,7,4.4,'ACTION','ADVENTURE','CRIME','THRILLER & MYSTERY'
'CALYPSO','DAVID SEDARIS','NONE','NONE','NONE','NONE','NONE','NONE','HARDCOVER','AUG',2018,2,4.0,'BIOGRAPHIES','AUTOBIOGRAPHIES','HUMOUR','NONE'
'BATMAN ETERNAL VOL. 2 (THE NEW 52) (BATMAN ETERNAL: THE NEW 52!)','SCOTT SNYDER',' TIM SEELEY',' JASON FABOK','NONE','NONE','NONE','NONE','PAPERBACK','JUL',2015,4,5.0,'SCIENCE','MATHEMATICS','HUMOUR','NONE'
'RAFA: MY STORY','RAFAEL NADAL','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','JUN',2012,66,4.6,'BIOGRAPHIES','AUTOBIOGRAPHIES','BIOGRAPHIES','DIARIES & TRUE ACCOUNTS'
'50 SHOOTING TARGETS - SILHOUETTE, TARGET OR BULLSEYE: GREAT FOR ALL FIREARMS, RIFLES, PISTOLS, AIRSOFT, BB & PELLET GUNS','SHOOTING TARGETS','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','DEC',2016,1,5.0,'HUNTING (BOOKS)','NONE','SPORTS','NONE'
'THE LITTLE BOOK OF MORE CALM COLOURING: PORTABLE RELAXATION (COLOURING BOOK)','DAVID SINDEN','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','JAN',2016,15,4.5,'HANDICRAFTS, DECORATIVE ARTS','CRAFTS','ARTS','FILM & PHOTOGRAPHY'
'THE GROWTH DELUSION: THE WEALTH AND WELL-BEING OF NATIONS','DAVID PILLING','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','JAN',2018,8,4.5,'INFLATION','NONE','POLITICS','NONE'
"THE LAZY GIRL'S GUIDE TO BEING FIT",'NAMRATA PUROHIT','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','JUL',2015,20,3.2,'HEALTHY LIVING','WELLNESS','BIOGRAPHIES','DIARIES & TRUE ACCOUNTS'
'ILLUSIONS : THE ADVENTURES OF A RELUCTANT MESSIAH','RICHARD BACH','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','MAR',2001,39,4.6,'RELIGIOUS','SPIRITUAL FICTION','BIOGRAPHIES','DIARIES & TRUE ACCOUNTS'
'PRIVACY 3.0: UNLOCKING OUR DATA-DRIVEN FUTURE','RAHUL MATTHAN','NONE','NONE','NONE','NONE','NONE','NONE','HARDCOVER','JUL',2018,9,4.2,'LAW (BOOKS)','NONE','POLITICS','NONE'
'THE LOGIC OF ENGLISH WORDS','LOGOPHILIA EDUCATION','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','MAY',2018,6,5.0,'VOCABULARY BOOKS','NONE','LANGUAGE','LINGUISTICS & WRITING'
'THE TATAS: HOW A FAMILY BUILT A BUSINESS AND A NATION','GIRISH KUBER',' VIKRANT PANDE','NONE','NONE','NONE','NONE','NONE','HARDCOVER','MAR',2019,3,3.7,'ASIAN HISTORY','NONE','BIOGRAPHIES','DIARIES & TRUE ACCOUNTS'
'ALONE ON THE WALL: ALEX HONNOLD AND THE ULTIMATE LIMITS OF ADVENTURE','ALEX HONNOLD','NONE','NONE','NONE','NONE','NONE','NONE','HARDCOVER','NOV',2015,7,4.8,'BIOGRAPHIES','AUTOBIOGRAPHIES','SPORTS','NONE'
'CALLIGRAPHY PRACTICE NOTEBOOK: UPPER AND LOWERCASE CALLIGRAPHY ALPHABET FOR LETTER PRACTICE, 60 PRACTICE PAGES, 30 SHEETS PER LETTER CASE, SOFT DURABLE MATTE COVER; CLASSIC','CALLIGRAPHY BOOK PRACTICE',' CALLIGRAPHY PAPER','NONE','NONE','NONE','NONE','NONE','PAPERBACK','FEB',2017,7,2.6,'HANDICRAFTS, DECORATIVE ARTS','CRAFTS','ARTS','FILM & PHOTOGRAPHY'
'BAREFOOT TO BOOTS: THE MANY LIVES OF INDIAN FOOTBALL','NOVY KAPADIA','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','SEP',2017,12,4.9,'ENCYCLOPAEDIAS','REFERENCE WORKS','SPORTS','NONE'
'AWS CERTIFIED SOLUTIONS ARCHITECT OFFICIAL STUDY GUIDE: ASSOCIATE EXAM (AWS CERTIFIED SOLUTIONS ARCHITECT OFFICIAL: ASSOCIATE EXAM)','JOE BARON','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','NOV',2016,171,4.1,'IT CERTIFICATION EXAMS','NONE','COMPUTING','INTERNET & DIGITAL MEDIA'
'COMING ROUND THE MOUNTAIN: IN THE YEAR OF INDEPENDENCE','RUSKIN BOND','NONE','NONE','NONE','NONE','NONE','NONE','HARDCOVER','MAY',2019,13,5.0,'BIOGRAPHIES','AUTOBIOGRAPHIES','BIOGRAPHIES','DIARIES & TRUE ACCOUNTS'
'INDIAN SIGN LANGUAGE (NATIVE AMERICAN)','WILLIAM TOMKINS','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','JUN',1969,2,4.0,'SIGN LANGUAGE REFERENCE','NONE','HUMOUR','NONE'
'TIM COOK','LEANDER KAHNEY','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','MAY',2019,2,3.5,'ENGINEERING','TECHNOLOGY','BIOGRAPHIES','DIARIES & TRUE ACCOUNTS'
'ON PHOTOGRAPHY (PENGUIN MODERN CLASSICS)','SUSAN SONTAG','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','SEP',2008,9,4.5,'ARTS HISTORY, THEORY','CRITICISM','ARTS','FILM & PHOTOGRAPHY'
'SAP HR PERSONNEL ADMINISTRATION AND RECRUITMENT: TECHNICAL REFERENCE AND LEARNING GUIDE','AGRAWAL P.K','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','NONE',2011,2,5.0,'BUSINESS COMMUNICATION','NONE','COMPUTING','INTERNET & DIGITAL MEDIA'
'EXPERT PEARSON TEST OF ENGLISH ACADEMIC B1 STANDALONE COURSEBOOK','LINDSAY WARWICK','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','JUN',2016,7,3.2,'IELTS','NONE','LANGUAGE','LINGUISTICS & WRITING'
'A GIRL TO REMEMBER','AJAY K PANDEY','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','SEP',2018,399,4.6,'INDIAN WRITING (BOOKS)','NONE','ROMANCE','NONE'
